Country,TotalRevenue
United Kingdom,7308391.5540030645
Netherlands,285446.34
EIRE,265545.8999999985
Germany,228867.13999999844
France,209024.04999999914
Australia,138521.30999999956
Spain,61577.10999999997
Switzerland,56443.95000000004
Belgium,41196.33999999997
Sweden,38378.33000000003
Japan,37416.369999999995
Norway,36165.440000000046
Portugal,33439.890000000065
Finland,22546.079999999973
Singapore,21279.289999999994
Channel Islands,20450.440000000035
Denmark,18955.339999999997
Italy,17483.240000000016
Cyprus,13590.379999999994
Austria,10198.679999999995
Poland,7334.649999999997
Israel,7221.69
Greece,4760.5199999999995
Iceland,4309.999999999997
Canada,3666.380000000001
USA,3580.390000000001
Malta,2725.5900000000024
Unspecified,2667.0700000000006
United Arab Emirates,1902.2800000000004
Lebanon,1693.8800000000003
Lithuania,1661.06
European Community,1300.2500000000002
Brazil,1143.6000000000001
RSA,1002.3099999999998
Czech Republic,826.74
Bahrain,548.4
Saudi Arabia,145.92
